Sample,E_1-1,E_1-2,E_1-3,E_1-4,ECo_3-1,ECo_3-2,ECo_3-3,ECo_3-4,H_2-1,H_2-2,H_2-3,H_2-4,HCo_4-1,HCo_4-2,HCo_4-3,HCo_4-4
Condition,EVT_monoculture,EVT_monoculture,EVT_monoculture,EVT_monoculture,EVT_Coculture,EVT_Coculture,EVT_Coculture,EVT_Coculture,EC_Monoculture,EC_Monoculture,EC_Monoculture,EC_Monoculture,EC_Coculture,EC_Coculture,EC_Coculture,EC_Coculture
Condition_Num,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4
Replicate_number,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
